weatherTime,latitude,longitude,main,description,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,country,name
"2022-02-22 12:53:29",53.3498,-6.2603,Clouds,"few clouds",282.81,278.75,281.86,283.69,1015,71,NULL,NULL,10.8,270,NULL,20,IE,Mountjoy
"2022-02-22 12:55:30",53.3498,-6.2603,Clouds,"few clouds",282.81,278.75,281.86,283.69,1015,71,NULL,NULL,10.8,270,NULL,20,IE,Mountjoy
"2022-02-24 10:56:43",53.3515,-6.2553,Clouds,"scattered clouds",276.31,270.37,275.31,276.99,1007,80,NULL,NULL,9.77,240,NULL,40,IE,Mountjoy
"2022-03-01 09:16:10",53.3498,-6.2603,Clear,"clear sky",275.03,275.03,272.52,276.98,1030,91,NULL,NULL,1.03,0,NULL,0,IE,Mountjoy
"2022-03-01 09:30:03",53.3498,-6.2603,Clear,"clear sky",276.8,276.8,273.53,279.76,1030,88,NULL,NULL,1.03,0,NULL,0,IE,Mountjoy
"2022-03-01 09:32:02",53.3498,-6.2603,Clear,"clear sky",276.32,276.32,273.53,278.65,1030,89,NULL,NULL,1.03,0,NULL,0,IE,Mountjoy
"2022-03-01 09:34:01",53.3498,-6.2603,Clear,"clear sky",276.32,276.32,273.53,278.65,1030,89,NULL,NULL,1.03,0,NULL,0,IE,Mountjoy
"2022-03-01 09:36:02",53.3484,-6.2551,Clear,"clear sky",277.09,277.09,273.55,279.77,1030,87,NULL,NULL,1.03,0,NULL,0,IE,Mountjoy
"2022-03-01 09:38:02",53.3498,-6.2603,Clear,"clear sky",277.33,277.33,274.52,279.76,1030,86,NULL,NULL,1.03,0,NULL,0,IE,Mountjoy
"2022-03-01 09:40:02",53.3498,-6.2603,Clear,"clear sky",277.33,277.33,274.52,279.76,1030,86,NULL,NULL,1.03,0,NULL,0,IE,Mountjoy
"2022-03-01 09:42:02",53.3484,-6.2551,Clear,"clear sky",277.09,277.09,273.55,279.77,1030,87,NULL,NULL,1.03,0,NULL,0,IE,Mountjoy
"2022-03-01 09:44:02",53.3498,-6.2603,Clear,"clear sky",277.33,277.33,274.52,279.76,1030,86,NULL,NULL,1.03,0,NULL,0,IE,Mountjoy
"2022-03-01 09:46:02",53.3498,-6.2603,Clear,"clear sky",277.33,277.33,274.52,279.76,1030,86,NULL,NULL,1.03,0,NULL,0,IE,Mountjoy
"2022-03-01 09:48:02",53.3498,-6.2603,Clouds,"scattered clouds",277.88,277.88,276.36,279.76,1030,85,NULL,NULL,0.89,290,1.34,40,IE,Mountjoy
"2022-03-01 09:50:01",53.3498,-6.2603,Clouds,"scattered clouds",277.89,277.89,276.52,279.21,1030,84,NULL,NULL,0.89,8,1.34,40,IE,Mountjoy
"2022-03-01 09:52:01",53.3498,-6.2603,Clouds,"scattered clouds",277.89,277.89,276.52,279.21,1030,84,NULL,NULL,0.89,8,1.34,40,IE,Mountjoy
"2022-03-01 09:54:02",53.3498,-6.2603,Clouds,"scattered clouds",277.89,277.89,276.52,279.21,1030,84,NULL,NULL,0.89,8,1.34,40,IE,Mountjoy
